Tamaño,Algoritmo,PromedioMs
100,BubbleSort,0.030435
100,InsertionSort,0.011468
100,SelectionSort,0.024376
100,MergeSort,0.008396
100,QuickSort,0.013028
200,BubbleSort,0.102959
200,InsertionSort,0.159276
200,SelectionSort,0.048335
200,MergeSort,0.153694
200,QuickSort,0.017618
300,BubbleSort,0.040990
300,InsertionSort,0.007815
300,SelectionSort,0.059186
300,MergeSort,0.012642
300,QuickSort,0.013550
400,BubbleSort,0.077865
400,InsertionSort,0.017890
400,SelectionSort,0.053430
400,MergeSort,0.020824
400,QuickSort,0.017044
500,BubbleSort,0.133382
500,InsertionSort,0.017198
500,SelectionSort,0.059962
500,MergeSort,0.028514
500,QuickSort,0.019993
600,BubbleSort,0.200786
600,InsertionSort,0.024860
600,SelectionSort,0.091138
600,MergeSort,0.022793
600,QuickSort,0.022481
700,BubbleSort,0.292844
700,InsertionSort,0.031582
700,SelectionSort,0.109037
700,MergeSort,0.025106
700,QuickSort,0.026936
800,BubbleSort,0.393340
800,InsertionSort,0.040843
800,SelectionSort,0.141338
800,MergeSort,0.028597
800,QuickSort,0.030203
900,BubbleSort,0.498339
900,InsertionSort,0.053647
900,SelectionSort,0.196134
900,MergeSort,0.032777
900,QuickSort,0.036491
1000,BubbleSort,0.604643
1000,InsertionSort,0.063929
1000,SelectionSort,0.220732
1000,MergeSort,0.034961
1000,QuickSort,0.040145
