Tamaño,Algoritmo,PromedioMs
2500,BubbleSort,3.668817
2500,InsertionSort,0.320497
2500,SelectionSort,1.260866
2500,MergeSort,0.104650
2500,QuickSort,0.106037
5000,BubbleSort,11.409823
5000,InsertionSort,1.329133
5000,SelectionSort,4.819033
5000,MergeSort,0.334138
5000,QuickSort,0.225828
7500,BubbleSort,28.039276
7500,InsertionSort,2.919553
7500,SelectionSort,10.615071
7500,MergeSort,0.441473
7500,QuickSort,0.351045
10000,BubbleSort,63.607932
10000,InsertionSort,5.232166
10000,SelectionSort,18.652702
10000,MergeSort,0.660974
10000,QuickSort,0.476456
12500,BubbleSort,110.133857
12500,InsertionSort,7.974431
12500,SelectionSort,29.050927
12500,MergeSort,0.851000
12500,QuickSort,0.603453
15000,BubbleSort,170.439096
15000,InsertionSort,11.701958
15000,SelectionSort,42.151498
15000,MergeSort,1.063032
15000,QuickSort,0.733152
17500,BubbleSort,246.346119
17500,InsertionSort,15.852677
17500,SelectionSort,56.900656
17500,MergeSort,1.239810
17500,QuickSort,0.867995
20000,BubbleSort,340.604913
20000,InsertionSort,20.644188
20000,SelectionSort,74.667092
20000,MergeSort,1.443193
20000,QuickSort,1.008766
22500,BubbleSort,452.194851
22500,InsertionSort,26.139009
22500,SelectionSort,94.670183
22500,MergeSort,1.633618
22500,QuickSort,1.143686
25000,BubbleSort,576.671080
25000,InsertionSort,32.358076
25000,SelectionSort,117.093860
25000,MergeSort,1.839625
25000,QuickSort,1.279090
